date,sentiment_financial,oil_relevance_financial,news_count_financial,positive_prob_financial,neutral_prob_financial,negative_prob_financial
2024-05-14,-0.38055707258172333,1.75,4,0.12878485093824565,0.3618732183240354,0.509341923519969
2024-05-15,0.030383636088420946,1.8333333333333333,6,0.28026973906283575,0.46984416494766873,0.24988610297441483
2024-05-16,0.2711443717901905,1.3333333333333333,3,0.4431614776452382,0.3848213752110799,0.1720171058550477
2024-05-17,0.04464737450083097,1.0,3,0.3543582782149315,0.33593084414800006,0.30971090371410054
2024-05-19,0.9050005860626698,2.0,1,0.934013843536377,0.036972980946302414,0.0290132574737072
2024-05-20,-0.22694175376091152,1.25,4,0.36135224101599306,0.05035376362502575,0.5882939947769046
2024-05-21,0.03967153360801084,1.8571428571428572,7,0.41764204536697697,0.20438748198960507,0.3779705117589661
2024-05-22,-0.5473385117948055,1.6666666666666667,3,0.05665769179662069,0.339346041282018,0.6039962035914263
2024-05-23,-0.7004215780645608,1.8,5,0.03879639245569706,0.22198565043509005,0.739217970520258
2024-05-24,-0.2965527419000864,1.25,4,0.03744911588728428,0.6285490174777806,0.3340018577873707
2024-05-25,0.9170091319829226,2.0,1,0.9437216520309448,0.02956576645374298,0.02671252004802227
2024-05-26,0.908445187844336,2.0,1,0.9192718267440796,0.06990155577659607,0.010826638899743557
2024-05-28,-0.01113890732328097,1.8333333333333333,6,0.3390013772683839,0.3108583179612954,0.35014028459166485
2024-05-29,0.21599161271005868,1.8,5,0.3618017680943012,0.49238807111978533,0.14581015538424252
2024-05-30,-0.16797084212303162,1.8,5,0.22973828576505184,0.37255256026983263,0.39770912788808344
2024-05-31,-0.15073395185172558,1.4,5,0.2993974767625332,0.25047109872102735,0.45013142861425876
2024-06-02,0.052594512701034546,1.0,1,0.20864512026309967,0.6353042125701904,0.15605060756206512
2024-06-03,-0.048883070903165,1.5714285714285714,7,0.2745084475193705,0.40210004842707087,0.3233915184225355
2024-06-04,-0.3108827261254191,1.6,5,0.18707952685654164,0.31495821550488473,0.4979622529819608
2024-06-05,0.23785042949020863,1.6666666666666667,3,0.3906387910246849,0.45657284061113995,0.15278836153447628
2024-06-06,0.06254004524089396,1.5,4,0.2990322485566139,0.4644755907356739,0.23649220331571996
2024-06-07,-0.09530225093476474,2.0,4,0.4302289115730673,0.04423989914357662,0.525531162507832
2024-06-08,0.9220802150666714,1.0,1,0.9385010600090027,0.04507807642221451,0.016420844942331314
2024-06-09,0.9034675527364016,2.0,1,0.915740430355072,0.07198670506477356,0.012272877618670464
2024-06-10,0.5143941463902593,2.0,2,0.5315808989107609,0.4512323457747698,0.017186752520501614
2024-06-11,0.06179754100739956,1.8,5,0.32855297066271305,0.40469159223139284,0.2667554296553135
2024-06-12,-0.11034851614385843,1.7272727272727273,11,0.28877399633215234,0.31210349838842044,0.39912251247601077
2024-06-13,0.29046180546283723,1.4,5,0.5383166752755641,0.21382847130298616,0.24785486981272697
2024-06-14,-0.1552477799622076,1.7142857142857142,7,0.36237249416964395,0.12000724859535694,0.5176202741318515
2024-06-16,-0.47773069236427546,1.5,2,0.17167068924754858,0.17892789375036955,0.649401381611824
2024-06-17,-0.46120800101198256,1.75,4,0.1401680384296924,0.2584559042006731,0.601376039441675
2024-06-18,-0.3191262799082324,1.75,4,0.22413059521932155,0.2326125195249915,0.5432568751275539
2024-06-19,-0.9098893012851477,1.0,1,0.030611315742135048,0.028888076543807983,0.9405006170272827
2024-06-20,0.264472412597388,1.8,10,0.372922589071095,0.5186272386461497,0.10845017647370696
2024-06-21,0.049741563573479655,1.8,5,0.43298508785665035,0.18377140909433365,0.3832435242831707
2024-06-23,0.4397910088300705,2.0,1,0.4483645260334015,0.5430619120597839,0.008573517203330994
2024-06-24,0.11306540071964263,1.6,5,0.5069354724138975,0.09919443987309932,0.39387007169425486
2024-06-25,0.36566071957349777,1.75,4,0.44011835753917694,0.4854240217246115,0.07445763796567917
2024-06-26,-0.2639379044994712,1.6666666666666667,3,0.1011747323597471,0.5337126279870669,0.3651126368592183
2024-06-27,0.22181672106186548,1.3333333333333333,3,0.5819841971000036,0.05784832934538523,0.3601674760381381
2024-06-28,-0.1217955113388598,2.1666666666666665,6,0.33296771921838325,0.21226907521486282,0.45476323055724305
2024-07-01,0.2132336754584685,2.0,8,0.3830532170832157,0.44712724979035556,0.16981954162474722
2024-07-02,0.21410915115848184,1.75,8,0.4609612755011767,0.29218659456819296,0.24685212434269488
2024-07-03,-0.6677777200238779,2.25,4,0.15193544782232493,0.02835140354000032,0.8197131678462029
2024-07-04,0.18319462076760828,2.25,4,0.43773497780784965,0.30772466538473964,0.25454035704024136
2024-07-05,-0.9032371118664742,1.0,1,0.03302251547574997,0.030717819929122925,0.9362596273422241
2024-07-08,0.2068602799748381,1.6666666666666667,6,0.503127729985863,0.20060483397295079,0.2962674500110249
2024-07-09,-0.08383075743913651,1.8,5,0.4151796609163284,0.08580990508198738,0.49901041835546495
2024-07-10,0.020748533308506012,1.5,4,0.27378788171336055,0.4731727852486074,0.25303934840485454
2024-07-11,0.32305920869112015,2.0,3,0.41614100088675815,0.490777221818765,0.09308179219563802
2024-07-12,-0.23399242186652763,1.7142857142857142,7,0.21871921020959104,0.3285691679588386,0.4527116320761187
2024-07-14,0.06048760563135147,2.0,1,0.1135488972067833,0.8333898186683655,0.053061291575431824
2024-07-15,0.5729614561423659,1.5,2,0.6775045990943909,0.21795227751135826,0.10454314295202494
2024-07-16,-0.9393714163452387,2.0,1,0.02274196408689022,0.015144657343626022,0.9621133804321289
2024-07-17,-0.1800112466638287,2.0,3,0.3932266592358549,0.03353540909787019,0.5732379058996836
2024-07-18,0.5944191748276353,2.0,2,0.7486046850681305,0.09720981493592262,0.1541855102404952
2024-07-19,-0.21100766211748123,1.6,5,0.3429037772119045,0.10318477619439363,0.5539114393293858
2024-07-20,-0.2318739602342248,2.0,4,0.25878464663401246,0.2505567299667746,0.49065860686823726
2024-07-22,0.05806167020152012,1.3333333333333333,6,0.40878417653342086,0.24049331930776438,0.3507225063319008
2024-07-23,-0.22782936754326025,1.6666666666666667,3,0.30255304214855033,0.16706456740697226,0.5303824096918106
2024-07-24,0.20108381219740426,1.7142857142857142,7,0.5640982364171317,0.07288732246628829,0.3630144242197275
2024-07-25,-0.18198025738820434,1.1666666666666667,6,0.26252621738240123,0.29296730800221366,0.44450647477060556
2024-07-26,0.07068921222041051,1.8333333333333333,6,0.44015705259516835,0.19037508157392344,0.3694678403747578
2024-07-27,0.7468518875539303,2.0,1,0.7698258757591248,0.20720010995864868,0.022973988205194473
2024-07-28,0.034902249462902546,2.0,1,0.047582779079675674,0.9397366642951965,0.012680529616773129
2024-07-29,-0.2846372033070241,1.7142857142857142,7,0.18118161016276904,0.3529995592044933,0.4658188134697931
2024-07-30,-0.43117620181292293,1.4,5,0.17223681900650262,0.22435014881193638,0.6034130208194256
2024-07-31,0.12929299985989928,2.0,4,0.47323999693617225,0.18281299388036132,0.34394699707627296
2024-08-01,-0.3308842279560243,1.75,12,0.22019466722849756,0.22872644755989313,0.5510788951845219
2024-08-02,-0.09846297775705655,2.3333333333333335,3,0.38549821513394517,0.13054057396948338,0.4839611928910017
2024-08-04,-0.9348395466804504,2.0,1,0.019360780715942383,0.026438919827342033,0.9542003273963928
2024-08-05,-0.6544715763690571,1.6666666666666667,6,0.11522880181049307,0.11507079874475797,0.7697003781795502
2024-08-06,-0.0028298955876380205,1.6666666666666667,12,0.39618687502418953,0.20479636235783497,0.39901677061182755
2024-08-07,0.1398739772848785,1.75,4,0.45675888238474727,0.22635622788220644,0.3168849050998688
2024-08-08,0.45874581499291317,1.5714285714285714,7,0.5940303110650608,0.2706851693136351,0.13528449607214757
2024-08-09,0.7228982153659066,1.6666666666666667,3,0.7544062932332357,0.21408557519316673,0.03150807786732912
2024-08-10,-0.6766203045845032,2.0,1,0.024081170558929443,0.2752173840999603,0.7007014751434326
2024-08-12,-0.4999732691794634,1.75,4,0.07154190237633884,0.3569429339841008,0.5715151715558022
2024-08-13,-0.585989771100382,1.6666666666666667,6,0.09317448611060779,0.22766124457120895,0.6791642572109898
2024-08-14,-0.31866796091198923,2.0,5,0.21608343496918678,0.24916514679789542,0.534751395881176
2024-08-15,0.5140149585902691,1.6,5,0.7383166518062353,0.03738165907561779,0.2243016932159662
2024-08-16,-0.9437953224405646,2.0,1,0.012926639057695866,0.030351420864462852,0.9567219614982605
2024-08-17,-0.9360754261724651,1.5,2,0.013255529571324587,0.037413486279547215,0.9493309557437897
2024-08-19,-0.028416588669642806,1.625,8,0.3441199860535562,0.2833434500498697,0.372536574723199
2024-08-20,0.2578054419718683,1.0,4,0.5245508444495499,0.20870377169921994,0.26674540247768164
2024-08-21,-0.05210946899439607,1.5714285714285714,7,0.2430304078651326,0.461829717404076,0.2951398768595287
2024-08-22,0.21774736186489463,1.75,4,0.5161345440428704,0.18547826679423451,0.2983871821779758
2024-08-23,-0.10773801351232189,1.4285714285714286,7,0.305492586057101,0.28127678324069294,0.4132305995694229
2024-08-26,0.16038604717080793,1.3333333333333333,9,0.43586521305971676,0.28865561365253395,0.27547916588890886
2024-08-27,-0.3540343230900665,1.5,6,0.2827208295154075,0.08052403821299474,0.636755152605474
2024-08-28,-0.004021599888801575,2.0,6,0.28782168589532375,0.4203350196282069,0.29184328578412533
2024-08-29,0.07556022759526967,1.4,5,0.4625005779787898,0.15055907256901263,0.38694035038352015
2024-08-30,-0.3966932956439753,1.5,6,0.18758540196965137,0.22813590553899607,0.5842786976136267
2024-08-31,-0.2840421199798584,2.0,1,0.29671937227249146,0.1225191056728363,0.5807614922523499
2024-09-02,-0.0625076461583376,1.6666666666666667,6,0.3253866297503312,0.28671907385190326,0.3878942759086688
2024-09-03,-0.6533887771268686,1.6666666666666667,3,0.028708675255378086,0.28919388478000957,0.6820974523822466
2024-09-04,0.11613028321880847,1.875,8,0.3880449002608657,0.34004047350026667,0.2719146170420572
