date,sentiment_geopolitical,oil_relevance_geopolitical,news_count_geopolitical,positive_prob_geopolitical,neutral_prob_geopolitical,negative_prob_geopolitical
2019-10-28,0.6582990176975727,2.0,1,0.6829032897949219,0.2924923300743103,0.024604272097349167
2019-10-29,-0.5092643542836109,2.0,3,0.10044691773752372,0.2898418338348468,0.6097112720211347
2019-11-01,-0.8572909832000732,2.0,1,0.04687929153442383,0.04895051196217537,0.9041702747344971
2019-11-02,-0.7639691904187202,1.0,1,0.01744209975004196,0.2011466771364212,0.7814112901687622
2019-11-04,-0.007525499910116196,2.0,1,0.0343896858394146,0.9236950874328613,0.04191518574953079
2019-11-06,-0.44519719667732716,1.5,2,0.05450831912457943,0.4457861948758364,0.4997055158019066
2019-11-07,0.29920299630612135,1.0,2,0.31867555156350136,0.6618518382310867,0.01947255525738001
2019-11-08,-0.020499061793088913,1.0,1,0.040760383009910583,0.8979802131652832,0.061259444802999496
2019-11-11,-0.606997728580609,1.25,4,0.04028351744636893,0.3124352376908064,0.6472812460269779
2019-11-13,-0.5150278909131885,1.6666666666666667,3,0.028191151718298595,0.4285897761583328,0.543219042631487
2019-11-16,-0.9022443629801273,3.0,1,0.014398541301488876,0.06895855814218521,0.9166429042816162
2019-11-17,-0.05685071460902691,1.0,1,0.029918508604168892,0.8833122253417969,0.0867692232131958
2019-11-19,0.1378021789714694,2.0,2,0.15339591354131699,0.8310102820396423,0.015593734569847584
2019-11-20,-0.22914678021334112,1.5,4,0.1989431050606072,0.3729670140892267,0.4280898852739483
2019-11-22,-0.15745304920710623,1.25,4,0.08098878990858793,0.6805694065988064,0.23844183911569417
2019-11-25,-0.296817846596241,1.5,2,0.10508259385824203,0.49301695823669434,0.40190044045448303
2019-11-26,-0.0019898638129234314,1.0,1,0.07366286218166351,0.8506844639778137,0.07565272599458694
2019-11-27,-0.23532906570471823,1.5,4,0.20817616768181324,0.34831857308745384,0.44350523338653147
2019-11-28,-0.8331633238121867,2.5,2,0.019951430149376392,0.12693387642502785,0.8531147539615631
2019-11-30,-0.5373413786292076,1.0,1,0.08813820034265518,0.28638219833374023,0.6254795789718628
2019-12-02,0.26764330733567476,2.0,1,0.2801856994628906,0.707271933555603,0.012542392127215862
2019-12-04,-0.010631799697875977,1.0,1,0.036587268114089966,0.9161936640739441,0.04721906781196594
2019-12-05,0.09118783660233021,2.0,2,0.14891153201460838,0.7933647632598877,0.057723695412278175
2019-12-06,0.2086597572391232,2.3333333333333335,3,0.5336955816795429,0.1412686084707578,0.3250358244404197
2019-12-07,0.1233263909816742,1.0,1,0.1582152545452118,0.8068958520889282,0.0348888635635376
2019-12-09,-0.6907697413116693,2.0,1,0.02301560901105404,0.26319900155067444,0.7137853503227234
2019-12-10,-0.3960082555189729,2.2,5,0.08518010824918747,0.4336315207183361,0.4811883637681603
2019-12-11,-0.4600684065371752,1.75,4,0.06396751990541816,0.4119965322315693,0.5240359264425933
2019-12-13,-0.375204361975193,1.0,1,0.07189913839101791,0.48099738359451294,0.44710350036621094
2019-12-16,0.7779444539919496,1.0,1,0.7855451703071594,0.20685410499572754,0.007600716315209866
2019-12-17,-0.03097434900701046,1.5,2,0.054262345656752586,0.8605009317398071,0.08523669466376305
2019-12-19,-0.02032240852713585,2.0,2,0.04147139936685562,0.8967348337173462,0.06179380789399147
2019-12-20,0.5059632500633597,1.5,2,0.5244504064321518,0.4570624455809593,0.018487156368792057
2019-12-23,-0.08165562152862549,2.0,1,0.14874693751335144,0.6208504438400269,0.23040255904197693
2019-12-24,0.5614876532927155,1.6666666666666667,3,0.6072208980719248,0.34704585870107013,0.045733244779209294
