date,sentiment_supply,oil_relevance_supply,news_count_supply,positive_prob_supply,neutral_prob_supply,negative_prob_supply
2022-08-04,-0.49739077389240266,1.6,5,0.14083681404590606,0.22093558199703695,0.6382275879383087
2022-08-05,-0.9504896523430943,2.5,2,0.010346460156142712,0.02881742361932993,0.9608361124992371
2022-08-07,0.11398874782025814,1.0,1,0.12975695729255676,0.8544749021530151,0.015768209472298622
2022-08-08,-0.2855683881789446,2.0,2,0.08243437111377716,0.549562856554985,0.36800275929272175
2022-08-09,0.09666078661878903,2.0,3,0.5298810712993145,0.03689864960809549,0.4332202846805255
2022-08-10,-0.49694917909801006,1.5,4,0.10356186842545867,0.2959270612336695,0.6005110475234687
2022-08-11,0.29743629787117243,1.5,4,0.5508614515420049,0.19571338593959808,0.2534251536708325
2022-08-12,-0.5510423511266709,1.6,5,0.19190231151878834,0.06515303328633308,0.7429446626454592
2022-08-14,-0.0007076375186443329,2.0,1,0.023606810718774796,0.9520787596702576,0.02431444823741913
2022-08-15,-0.18892611786723137,1.2,5,0.20308538433164358,0.4049031244590878,0.39201150219887493
2022-08-16,0.24963981272386654,2.0,7,0.5395465851096171,0.1705466905342681,0.2899067723857505
2022-08-17,0.3208945921311776,2.0,3,0.6182469222694635,0.08440069047113259,0.29735233013828594
2022-08-18,0.8473367439582944,1.0,1,0.8556427955627441,0.13605119287967682,0.008306051604449749
2022-08-19,-0.9067660998553038,1.0,1,0.01664765365421772,0.05993858352303505,0.9234137535095215
2022-08-21,-0.13954440318048,1.5,2,0.35357274767011404,0.15331003908067942,0.49311715085059404
2022-08-22,-0.25427558049559595,2.0,5,0.23719165418297053,0.27134113535285,0.49146723467856646
2022-08-23,-0.025056710466742516,2.5,4,0.46761474898085,0.03971384046599269,0.4926714594475925
2022-08-24,-0.17148160319775343,1.4,5,0.3747943934053183,0.07892961651086808,0.5462759966030717
2022-08-25,-0.1740615499438718,1.5,8,0.2620806166669354,0.3017772249877453,0.4361421666108072
2022-08-26,0.016532183314363163,1.8888888888888888,9,0.24484904752009445,0.5268340835140811,0.22831686420573127
2022-08-28,0.897298775613308,3.0,1,0.936434268951416,0.024430209770798683,0.03913549333810806
2022-08-29,-0.6960740415379405,1.3333333333333333,3,0.029715257075925667,0.24449544586241245,0.7257892986138662
2022-08-30,0.15731021223057592,2.2857142857142856,7,0.3411958983301052,0.47491843067109585,0.18388568609952927
2022-08-31,0.2508086972973413,1.7777777777777777,9,0.3919887464079592,0.46683118409580654,0.1411800491106179
2022-09-01,0.2593578624849518,1.8333333333333333,6,0.3116974225267768,0.6359630258133014,0.052339560041824974
2022-09-02,0.1470346429850906,1.75,4,0.41264966828748584,0.32173529639840126,0.2656150253023952
2022-09-03,0.011374716646969318,1.0,3,0.30708124799033004,0.39721226940552395,0.2957065313433607
2022-09-05,-0.3145736251026392,2.0,2,0.23683992587029934,0.21174654085189104,0.5514135509729385
2022-09-06,0.3364558988250792,1.75,4,0.3500828305259347,0.6362902279943228,0.013626931700855494
2022-09-07,-0.2710918925702572,1.6,5,0.15567139945924283,0.41756529472768306,0.42676329202950003
2022-09-08,0.48998432816006243,2.0,4,0.6461495496332645,0.19768522726371884,0.1561652214732021
2022-09-09,-0.9141394905745983,2.0,1,0.02000029757618904,0.0458599328994751,0.9341397881507874
2022-09-12,-0.04540041368454695,1.6666666666666667,3,0.32430250694354373,0.30599455411235493,0.3697029206280907
2022-09-13,0.1507420614361763,1.0,1,0.16165755689144135,0.8274269104003906,0.010915495455265045
2022-09-14,0.13271124055609107,1.5,2,0.15074964612722397,0.8312119245529175,0.0180384055711329
2022-09-15,0.6405599806457758,1.5,2,0.659488171339035,0.3215836025774479,0.01892819069325924
2022-09-16,0.04600971955806017,1.8,5,0.4025504756718874,0.24090879186987876,0.35654075611382724
2022-09-17,-0.7432855367660522,1.0,1,0.05514413118362427,0.1464262157678604,0.7984296679496765
2022-09-18,-0.2388470706064254,1.75,4,0.12115485360845923,0.5188431814312935,0.36000192421488464
2022-09-19,0.16236223536543548,1.625,8,0.3400720476638526,0.4822181405033916,0.1777098122984171
2022-09-20,-0.20982601633295417,2.5,4,0.25176903838291764,0.28663590596988797,0.4615950547158718
2022-09-21,-0.32308379956521094,2.25,4,0.14310911810025573,0.3906979444436729,0.46619291766546667
2022-09-22,-0.251858782581985,1.6,10,0.15431478023529052,0.439511638879776,0.4061735628172755
2022-09-23,-0.3060680301859975,1.6666666666666667,6,0.177669880601267,0.3385922114054362,0.4837379107872645
2022-09-25,0.7365807751193643,2.0,1,0.7502532005310059,0.23607441782951355,0.013672425411641598
2022-09-26,-0.0051547963172197345,1.6,5,0.1994380373507738,0.5959690924733877,0.20459283366799355
2022-09-27,-0.08734681233763694,2.2,5,0.3484967827796936,0.21565960273146628,0.43584359511733056
2022-09-28,-0.24427369830664247,2.0,8,0.22034385474398732,0.315038611413911,0.4646175530506298
2022-09-29,-0.4047176611299316,1.7777777777777777,9,0.11121479380461904,0.3728527536408769,0.5159324549345506
2022-09-30,0.3825741484761238,2.0,2,0.46152221225202084,0.45952970907092094,0.07894806377589703
2022-10-02,0.20344639103859663,2.3333333333333335,3,0.2374254142244657,0.7285955548286438,0.03397902318586906
2022-10-03,-0.037191293900832534,1.5,4,0.45855483901686966,0.04569903342053294,0.4957461329177022
2022-10-04,0.14220119453966618,1.75,8,0.41104568308219314,0.3201098209246993,0.26884448854252696
2022-10-05,-0.21246684296056628,2.5,4,0.21702721482142806,0.3534787241369486,0.42949405778199434
2022-10-06,0.5946644179522991,2.0,5,0.6306636482477188,0.3333371415734291,0.035999230295419696
2022-10-07,0.3068160624243319,2.0,2,0.3172651082277298,0.6722858250141144,0.010449045803397894
2022-10-08,-0.9256258811801672,3.0,1,0.020562270656228065,0.03324951231479645,0.9461881518363953
2022-10-09,0.49910301342606544,2.5,2,0.5290771573781967,0.4409487433731556,0.02997414395213127
2022-10-10,-0.32958637888077646,1.625,8,0.27761855453718454,0.11517649446614087,0.607204933417961
2022-10-11,0.046772328205406666,1.5714285714285714,7,0.35734242147633005,0.3320874997547695,0.3105700932709234
2022-10-12,-0.08481579526726689,1.7142857142857142,7,0.406576025432774,0.10203216969966888,0.4913918207000409
2022-10-13,-0.3983428180217743,1.75,4,0.21120786666870117,0.17924147006124258,0.6095506846904755
2022-10-15,0.2669695522636175,1.0,1,0.2743166983127594,0.7183362245559692,0.007347146049141884
2022-10-17,-0.15356628457084298,1.9,10,0.19199130721390248,0.46245109364390374,0.34555759178474543
2022-10-18,0.2660381719470024,2.5,4,0.5199847328476608,0.22606869135051966,0.25394656090065837
2022-10-19,-0.24546729462842146,1.7777777777777777,9,0.2298431315769752,0.29484643083479667,0.47531042620539665
2022-10-20,0.3999809755012393,1.8,5,0.412487319111824,0.5750063329935073,0.012506343610584735
2022-10-21,0.873648448381573,3.0,2,0.899088978767395,0.0754704624414444,0.025440530385822058
2022-10-23,-0.28392613492906094,3.0,2,0.3449582550674677,0.026157368440181017,0.6288843899965286
2022-10-24,-0.1821571426698938,2.0,4,0.30722735717426986,0.20338811306282878,0.48938449984416366
2022-10-25,-0.15235520489513873,2.0,5,0.25906901583075526,0.3295067589730024,0.41142422072589396
2022-10-26,0.1841023246358548,1.5714285714285714,7,0.3289780712553433,0.5261462187128407,0.14487574661948852
2022-10-27,0.013546923441546304,1.5714285714285714,7,0.4181450083851814,0.17725694019879615,0.40459808494363514
2022-10-28,-0.40266736410558224,1.8,5,0.26363018751144407,0.07007225658744573,0.6662975516170263
2022-10-31,0.16351299240653003,2.4285714285714284,7,0.3404103061184287,0.4826923574187926,0.17689731371189868
2022-11-01,0.3442122614011168,2.2,5,0.5685992509126663,0.2070137348026037,0.22438698951154948
2022-11-02,-0.2904869300934176,2.0,6,0.2295965269828836,0.25032001454383135,0.5200834570763012
2022-11-03,0.33812875505536794,2.0,5,0.5618723910301924,0.21438397876918316,0.22374363597482444
2022-11-04,-0.2113015107544405,1.5714285714285714,7,0.19723478624863283,0.39422894216009546,0.40853629700307337
2022-11-05,-0.19756370782852173,1.0,1,0.3145222067832947,0.17339187860488892,0.5120859146118164
2022-11-07,0.04050020384602249,1.625,8,0.31860354566015303,0.40329309622757137,0.27810334181413054
2022-11-08,-0.2966602194743852,1.8333333333333333,6,0.21513288219769797,0.27307402218381566,0.5117931016720831
2022-11-09,0.16506396792829037,1.8,5,0.4457855824381113,0.2734928041696548,0.2807216145098209
2022-11-10,-0.793954732362181,1.5,2,0.016555277165025473,0.17293467186391354,0.8105100095272064
2022-11-11,0.3888123547658324,1.75,4,0.5178409926593304,0.3531303755007684,0.12902863789349794
2022-11-14,-0.2463955937751702,1.7142857142857142,7,0.2994869121217302,0.15463060619575636,0.5458825058969003
2022-11-15,-0.35882079787552357,2.0,3,0.2938768571863572,0.053425516933202744,0.6526976550618807
2022-11-16,0.0862236956932715,2.142857142857143,7,0.29139669079865727,0.5034302944051368,0.20517299510538578
2022-11-17,-0.4516793703660369,1.6666666666666667,6,0.030025180118779343,0.4882702864706516,0.48170455048481625
2022-11-18,-0.2761442856863141,2.0,6,0.23985042283311486,0.2441548554537197,0.515994708519429
2022-11-21,-0.3472380360056247,2.0,7,0.17327770989920413,0.30620655151350157,0.5205157459048289
2022-11-22,-0.9534132930760583,2.0,3,0.012998774337271849,0.0205891461422046,0.9664120674133301
2022-11-23,-0.029671487265399525,2.142857142857143,7,0.2128370806042637,0.5446543592427459,0.24250856786966324
2022-11-24,-0.10662450408563018,1.5,4,0.2231575809419155,0.44706032052636147,0.3297820850275457
2022-11-25,0.9096854757517576,1.0,1,0.9353870153427124,0.038911450654268265,0.02570153959095478
2022-11-26,0.7860426842235029,2.0,1,0.7925744652748108,0.2008938491344452,0.006531781051307917
2022-11-27,-0.9578967923298478,2.0,1,0.012006676755845547,0.018089784309267998,0.9699034690856934
2022-11-28,0.25680621375795454,1.875,8,0.37408673157915473,0.5086327497847378,0.11728051782120019
2022-11-29,-0.001981887655953566,1.6666666666666667,3,0.32357199241717655,0.3508741731444995,0.32555388007313013
2022-11-30,-0.27506579328328373,2.2,5,0.23589938934892415,0.25313542373478415,0.5109651826322079
2022-12-01,0.04641597888742884,1.6666666666666667,6,0.23382512480020523,0.5787657331675291,0.18740914591277638
2022-12-02,0.463052778770881,1.7142857142857142,7,0.5347359691347394,0.39358083265168325,0.07168319036385842
2022-12-03,-0.012470943542818228,2.3333333333333335,3,0.32016379417230684,0.34720142806569737,0.3326347377151251
2022-12-04,-0.02524915710091591,1.6666666666666667,3,0.05414978166421255,0.8664512634277344,0.07939893876512845
2022-12-05,-0.06451857974752784,2.0,13,0.22708771101987132,0.4813059897950062,0.2916062907673992
2022-12-06,0.04090346405282617,1.7,10,0.3183621525764465,0.40417918991297486,0.2774586885236204
2022-12-07,-0.37037069057779654,1.2857142857142858,7,0.16387052541332586,0.3018882495484182,0.5342412159911224
2022-12-08,-0.15972942587298652,1.8333333333333333,6,0.31347900978289545,0.21331258366505304,0.47320843565588194
2022-12-09,-0.46498889870081955,1.8461538461538463,13,0.14290332299872086,0.24920444863920027,0.6078922216995404
2022-12-10,-0.3561048340052366,2.0,2,0.10050794295966625,0.4428792744874954,0.4566127769649029
2022-12-11,-0.012961320579051971,1.5,2,0.4484956441447139,0.09004741907119751,0.46145696472376585
2022-12-12,-0.20679249987006187,1.6666666666666667,3,0.13177956268191338,0.5296483747661114,0.33857206255197525
2022-12-13,0.12152895765999953,2.0,3,0.36259660745660466,0.39633579552173615,0.2410676497966051
2022-12-14,0.27405544533394277,1.125,8,0.4484423119574785,0.3771708426065743,0.17438686662353575
2022-12-15,0.40514576838662225,1.3333333333333333,3,0.44424325972795486,0.5166592672467232,0.03909749134133259
2022-12-16,-0.2629425599006936,1.875,8,0.21969276713207364,0.2976719213183969,0.48263532703276724
2022-12-18,0.16349534690380096,2.0,1,0.1750478744506836,0.813399612903595,0.01155252754688263
2022-12-19,0.644106575101614,1.8,5,0.6872758239507675,0.2695548988878727,0.04316924884915352
2022-12-20,-0.9258470674976707,2.0,1,0.010626480914652348,0.052900008857250214,0.936473548412323
2022-12-21,0.7355078682303429,1.0,1,0.8297377228736877,0.07603238523006439,0.09422985464334488
2022-12-22,-0.569986775983125,1.75,4,0.13328772829845548,0.16343777254223824,0.7032745042815804
2022-12-23,-0.0045316098257899284,2.6666666666666665,3,0.32727322665353614,0.34092198374370736,0.33180483647932607
2022-12-24,-0.2244227547198534,1.0,2,0.23979677259922028,0.2959836684167385,0.4642195273190737
2022-12-25,0.03655566833913326,2.0,1,0.05450921505689621,0.9275372624397278,0.017953546717762947
2022-12-27,0.013980361633002758,3.0,2,0.46154824923723936,0.09088389202952385,0.4475678876042366
2022-12-28,-0.05747334286570549,2.0,4,0.33486152347177267,0.27280361158773303,0.39233486633747816
2022-12-29,-0.4870629129000008,1.75,4,0.10623253276571631,0.3004720164462924,0.5932954456657171
2022-12-30,0.31441034842282534,2.0,3,0.5720957815647125,0.17021878312031427,0.2576854331418872
2023-01-01,-0.6362970992922783,2.0,1,0.032451875507831573,0.29879915714263916,0.6687489748001099
2023-01-03,0.016803544014692307,2.0,1,0.04798581078648567,0.9208319783210754,0.031182266771793365
2023-01-04,-0.16937457863241434,1.5,2,0.3744425540789962,0.08174031972885132,0.5438171327114105
2023-01-05,0.05309784668497741,2.375,8,0.42452843580394983,0.20404096320271492,0.3714305891189724
2023-01-06,0.13298281840980053,1.5,2,0.4923137277364731,0.148355427198112,0.35933090932667255
2023-01-09,0.7845584833994508,2.5,2,0.8356955051422119,0.11316747590899467,0.051137021742761135
2023-01-10,0.1496997606009245,1.5,2,0.36388923041522503,0.4219212234020233,0.21418946981430054
2023-01-11,-0.3782797444611788,1.4,5,0.2081071764230728,0.2055059291422367,0.5863869208842516
2023-01-12,-0.09134844245596065,2.111111111111111,9,0.3092568905817138,0.29013777938154006,0.4006053330376744
2023-01-13,0.4748484552837908,2.25,4,0.5130212623625994,0.4488059412688017,0.038172807078808546
2023-01-15,-0.2157523937523365,2.6,5,0.22530111223459243,0.33364541344344617,0.44105350598692894
2023-01-16,0.3180042617022991,1.5,2,0.3965264596045017,0.5249513536691666,0.0785221979022026
2023-01-17,-0.14308203078274215,1.8571428571428572,7,0.1526298944705299,0.5516582059540919,0.29571192525327206
2023-01-18,0.07441009343084362,2.111111111111111,9,0.4630349373651875,0.14834019334779847,0.38862484393434393
2023-01-19,0.21335437138461405,1.6666666666666667,9,0.4308138272414605,0.3517267265253597,0.21745945585684645
2023-01-20,0.10392792629344123,2.0,7,0.32006847113370895,0.4637910021202905,0.21614054484026773
2023-01-22,-0.20243872422724962,1.0,3,0.3446684650455912,0.10822430749734242,0.5471071892728409
