date,OilPrice,RealInterestRate,CPI,DollarIndex,VIX,IndustryProduction,CPE,OilInventories,OPECProduction,OilProduction,TreasuryYield,FedFundsRate,oil_diff_target,oil_diff_lag1,oil_diff_lag5,oil_volatility_5,oil_volatility_20,MA_5,MA_20,MA_ratio,MA_5_gt_MA_20,oil_momentum_5,oil_momentum_20,TermSpread_inversion,vix_high,is_monday,is_friday
2012-11-30,0.9000000000000057,0.0,0.0,-0.10660000000000025,0.8099999999999987,0.0,0.0,-2357.0,0.0,-1.0,0.0,0.0,0.14999999999999147,1.5400000000000063,-0.06999999999999318,0.9369258241718028,1.6631120954719965,87.274,86.5055,1.0088838281958952,1,1.5300000000000011,1.490000000000009,0,0,0,1
2012-12-03,0.14999999999999147,-0.1666404,-0.027999999999991587,-0.09540000000001214,0.7700000000000014,0.2324000000000126,4.899999999999636,0.0,-359.0,0.0,0.009999999999999787,0.0,-0.6499999999999915,0.9000000000000057,0.269999999999996,0.9396116218949255,1.578568555435753,87.556,86.69500000000001,1.0099313685910374,1,1.4099999999999966,3.789999999999992,0,0,1,0
2012-12-04,-0.6499999999999915,0.0,0.0,-0.03359999999999275,0.4800000000000004,0.0,0.0,0.0,0.0,0.0,-0.009999999999999787,0.0,-0.6800000000000068,0.14999999999999147,-0.46999999999999886,0.9782791012793891,1.5836466910599902,87.80199999999999,86.815,1.0113690030524678,1,1.230000000000004,2.4000000000000057,0,0,0,0
2012-12-05,-0.6800000000000068,0.0,0.0,-0.03249999999999886,-0.6600000000000001,0.0,0.0,0.0,0.0,0.0,-0.020000000000000018,0.0,-1.8900000000000006,-0.6499999999999915,-0.710000000000008,0.9710149329438804,1.4407859697145542,88.054,86.75200000000001,1.0150082995204721,1,1.2600000000000051,-1.2600000000000051,0,0,0,0
2012-12-06,-1.8900000000000006,0.0,0.0,0.12059999999999604,0.11999999999999744,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,-0.01999999999999602,-0.6800000000000068,1.5400000000000063,1.0425593508285305,1.1714016570353882,87.61999999999999,86.8005,1.009441189854897,1,-2.1700000000000017,0.9699999999999989,0,0,0,0
2012-12-07,-0.01999999999999602,0.0,0.0,-0.019199999999997885,-0.6799999999999979,0.0,0.0,140.0,0.0,35.0,0.04999999999999982,0.0,-0.3100000000000023,-1.8900000000000006,0.9000000000000057,0.8016046407051323,1.1649888185593935,87.002,86.81949999999999,1.002102062324708,1,-3.0900000000000034,0.38000000000000966,0,0,0,1
2012-12-10,-0.3100000000000023,0.0,0.0,-0.080600000000004,0.15000000000000036,0.0,0.0,0.0,0.0,0.0,-0.010000000000000009,0.0,0.21999999999999886,-0.01999999999999602,0.14999999999999147,0.7129165449055083,1.1430757215789111,86.292,86.77250000000001,0.9944625313319311,0,-3.549999999999997,-0.9399999999999977,0,0,1,0
2012-12-11,0.21999999999999886,0.0,0.0,-0.12279999999999802,-0.4800000000000004,0.0,0.0,0.0,0.0,0.0,0.030000000000000027,0.0,0.9899999999999949,-0.3100000000000023,-0.6499999999999915,0.8280881595579102,1.1389283975460585,85.756,86.7625,0.9883993660855784,0,-2.680000000000007,-0.20000000000000284,0,0,0,0
2012-12-12,0.9899999999999949,0.0,0.0,-0.069500000000005,0.379999999999999,0.0,0.0,0.0,0.0,0.0,0.06000000000000005,0.0,-0.9599999999999937,0.21999999999999886,-0.6800000000000068,1.0598443281916463,1.15959736660255,85.554,86.811,0.9855202681687804,0,-1.0100000000000051,0.9699999999999989,0,0,0,0
2012-12-13,-0.9599999999999937,0.0,0.0,0.005200000000002092,0.6099999999999994,0.0,0.0,0.0,0.0,0.0,0.020000000000000018,0.0,0.9299999999999926,0.9899999999999949,-1.8900000000000006,0.7150734228035598,1.1605455840386316,85.538,86.7645,0.9858640342536406,0,-0.0799999999999983,-0.9299999999999926,0,0,0,0
2012-12-14,0.9299999999999926,0.0,0.0,-0.06040000000000134,0.4400000000000013,0.0,0.0,-964.0,0.0,11.0,-0.020000000000000018,0.0,0.39000000000000057,-0.9599999999999937,-0.01999999999999602,0.8306202501745279,1.1631141275404577,85.712,86.80799999999999,0.9873744355358954,0,0.8699999999999903,0.8699999999999903,0,0,0,1
2012-12-17,0.39000000000000057,0.0,0.0,-0.09629999999999939,-0.6600000000000001,0.0,0.0,0.0,0.0,0.0,0.06000000000000005,0.0,0.75,0.9299999999999926,-0.3100000000000023,0.7864667825153169,1.1361174652019181,86.026,86.8125,0.9909402447804175,0,1.5699999999999932,0.0899999999999892,0,0,1,0
2012-12-18,0.75,0.0,0.0,-0.10320000000000107,-0.7699999999999996,0.0,0.0,0.0,0.0,0.0,0.06000000000000005,0.0,1.6300000000000097,0.39000000000000057,0.21999999999999886,0.8061017305526609,1.0014750962560397,86.446,86.73299999999999,0.9966909942005927,0,2.0999999999999943,-1.5900000000000034,0,0,0,0
